Affected States/UTs,2010,,2011,,2012,,2013,,2014,,2015(Prov.),,2016*,
,C,D,C,D,C,D,C,D,C,D,C,D,C,D
Andhra Pradesh,776,3,1209,6,2299,2,910,1,1262,5,3159,2,3376,2
Arunachal Pradesh,0,0,0,0,346,0,0,0,27,0,1933,1,13,0
Assam,237,2,0,0,1058,5,4526,2,85,0,1076,1,5715,4
Bihar,510,0,21,0,872,3,1246,5,297,0,1771,0,1911,0
Chattisgarh,4,0,313,11,45,0,83,2,440,9,384,1,355,0
Goa,242,0,26,0,39,0,198,2,168,1,293,0,131,0
Gujarat,2568,1,1693,9,3067,6,6272,15,2320,3,5590,9,7869,14
Haryana,866,20,267,3,768,2,1784,5,214,2,9921,13,2489,0
Himachal Pradesh,3,0,0,0,73,0,89,2,2,0,19,1,322,0
J & K,0,0,3,0,17,1,1837,3,1,0,153,0,79,0
Jharkhand,27,0,36,0,42,0,161,0,36,0,102,0,412,1
Karnataka,2285,7,405,5,3924,21,6408,12,3358,2,5077,9,5833,8
Kerala,2597,17,1304,10,4172,15,7938,29,2575,11,4075,25,7204,12
Madhya Pradesh,175,1,50,0,239,6,1255,9,2131,13,2108,8,3134,12
Meghalaya,1,0,0,0,27,2,43,0,0,0,13,0,91,0
Maharashtra,1489,5,1138,25,2931,59,5610,48,8573,54,4936,23,6708,32
Manipur,7,0,220,0,6,0,9,0,0,0,52,0,51,1
Mizoram,0,0,0,0,6,0,7,0,19,0,43,0,464,0
Nagaland,0,0,3,0,0,0,0,0,0,0,21,1,142,0
Orissa,29,5,1816,33,2255,6,7132,6,6433,9,2450,2,8377,11
Punjab,4012,15,3921,33,770,9,4117,25,472,8,14128,18,10475,11
Rajasthan,1823,9,1072,4,1295,10,4413,10,1243,7,4043,7,3632,16
Sikkim,0,0,2,0,2,0,38,0,5,0,21,0,8,0
Tamil Nadu,2051,8,2501,9,12826,66,6122,0,2804,3,4535,12,2531,5
Tripura,0,0,0,0,9,0,8,0,6,0,40,0,96,0
Telangana,0,0,0,0,0,0,0,0,704,1,1831,2,2764,4
Uttar Pradesh,960,8,155,5,342,4,1414,5,200,0,2892,9,7512,42
Uttrakhand,178,0,454,5,110,2,54,0,106,0,1655,1,2146,4
West Bengal,805,1,510,0,6456,11,5920,6,3934,4,8516,14,17702,34
A& N Island,25,0,6,0,24,0,67,0,139,0,153,0,344,0
Chandigarh,221,0,73,0,351,2,107,0,13,0,966,1,887,0
Delhi,6259,8,1131,8,2093,4,5574,6,995,3,15867,60,4393,10
D&N Haveli,46,0,68,0,156,1,190,0,641,1,1154,0,4161,2
Daman & Diu,0,0,0,0,96,0,61,0,46,0,165,0,90,0
Puduchery,96,0,463,3,3506,5,2215,0,1322,1,771,0,463,2
Total,28292,110,18860,169,50222,242,75808,193,40571,137,99913,220,111880,227
